Date,Open,High,Low,Close,Adj Close,Volume
2019-06-10,9.430000,9.520000,9.240000,9.450000,8.933449,11969700
2019-06-11,9.510000,9.600000,9.420000,9.600000,9.075250,14862700
2019-06-12,9.620000,9.710000,9.390000,9.400000,8.886183,16744600
2019-06-13,9.380000,9.500000,9.210000,9.390000,8.876729,21048400
2019-06-14,9.230000,9.310000,9.090000,9.180000,8.678208,11386600
2019-06-17,9.210000,9.320000,9.150000,9.180000,8.678208,9283100
2019-06-18,9.310000,9.450000,9.300000,9.320000,8.810554,11488800
2019-06-19,9.300000,9.550000,9.200000,9.520000,8.999621,18818300
2019-06-20,9.630000,9.780000,9.630000,9.720000,9.188691,8715900
2019-06-21,9.630000,9.800000,9.620000,9.720000,9.188691,11421200
2019-06-24,9.760000,9.920000,9.720000,9.880000,9.339944,10163800
2019-06-25,9.880000,9.940000,9.620000,9.710000,9.179238,21132200
2019-06-26,9.840000,9.900000,9.670000,9.860000,9.321039,10459700
2019-06-27,9.720000,9.900000,9.570000,9.820000,9.283224,11585400
2019-06-28,9.880000,9.950000,9.780000,9.820000,9.283224,12085400
2019-07-01,9.950000,9.960000,9.690000,9.740000,9.250903,8289300
2019-07-02,9.700000,9.900000,9.520000,9.720000,9.236223,11972000
2019-07-03,9.740000,9.900000,9.690000,9.840000,9.350248,5395700
2019-07-05,10.120000,10.310000,10.050000,10.240000,9.730343,13495400
2019-07-08,10.270000,10.290000,10.190000,10.240000,9.730343,17569000
2019-07-09,10.010000,10.360000,10.010000,10.300000,9.787354,8144100
2019-07-10,10.500000,10.550000,10.330000,10.390000,9.872875,16912000
2019-07-11,10.250000,10.280000,10.090000,10.250000,9.739844,11389600
2019-07-12,10.290000,10.320000,10.120000,10.190000,9.682830,10949600
2019-07-15,10.120000,10.160000,9.970000,10.030000,9.530792,8827100
2019-07-16,10.020000,10.070000,9.930000,9.990000,9.492783,6092400
2019-07-17,10.040000,10.090000,9.960000,9.970000,9.473780,4913300
2019-07-18,10.010000,10.290000,10.000000,10.280000,9.768352,9868900
2019-07-19,10.190000,10.220000,9.950000,9.980000,9.483282,12432000
2019-07-22,10.170000,10.240000,10.070000,10.150000,9.644820,13569400
2019-07-23,10.120000,10.140000,10.020000,10.090000,9.587808,10443200
2019-07-24,10.180000,10.300000,10.160000,10.260000,9.749345,12925400
2019-07-25,9.930000,9.950000,9.640000,9.660000,9.179210,24658100
2019-07-26,9.770000,9.780000,9.580000,9.600000,9.122195,13026400
2019-07-29,9.560000,9.590000,9.410000,9.540000,9.065182,12864100
2019-07-30,9.250000,9.400000,9.230000,9.280000,8.818121,17765100
2019-07-31,9.310000,9.310000,8.930000,9.040000,8.590066,19333500
2019-08-01,9.130000,9.260000,8.850000,8.880000,8.438031,18324700
2019-08-02,8.910000,8.960000,8.700000,8.770000,8.337827,11207400
2019-08-05,8.510000,8.630000,8.390000,8.470000,8.052610,18750500
